SA4_NAME_2016,ANZSCO,SA4 code,unemprate,unempscore,averageannualmvmt20132016,averscore,housepiceandrent,rent,pricescore,rentscore,income,incomescore,occunemp,occempscore,patents,trade,newbus,patscore,tradescore,newbusscore,unemprate_SA4,unempscore_SA4,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,propJVinc201316,JV_score
Sydney - Sutherland,51,128,16.26229967,1,0,0,1677.5,855,0,0,97300,3,-20.36199095,0,-38.29787234,-9.014675052,20.32667877,0,1,2,3.385547429,1,19140,19401,1.363636364,1,63.0952381,3
Ballarat,51,201,10.82009453,3,164.2162827,3,303.5,275,3,3,55000,1,2.209051724,3,-44.44444444,-30.06535948,16.95685087,0,0,2,2.139011948,3,11608,11916,2.653342522,3,124.9031008,3
Bendigo,51,202,10.82009453,3,-10.85934738,1,295,290,3,3,56700,1,-1.025917927,2,-23.68421053,25.45454545,11.06382979,1,3,0,6.754870247,0,11034,11165,1.187239442,1,124.9031008,2
Geelong,51,203,18.2576714,1,234.2114014,3,235,260,3,3,63500,2,-5.070046698,1,26,-4.716981132,7.954062101,3,1,0,3.647541779,1,18850,19140,1.538461538,2,66.5577342,3
Hume,51,204,10.82009453,3,-22.0787288,0,270,300,3,3,55500,1,-0.786098469,3,-5,-6.593406593,11.21107266,2,1,0,1.337339781,3,16187,16230,0.265645271,1,66.5577342,1
Latrobe - Gippsland,51,205,10.82009453,3,5.734329767,2,260.75,260,3,3,53500,1,-2.024416628,2,-16,15.60283688,12.95073641,2,3,0,3.795075696,1,22506,22559,0.235492757,0,63.60777587,3
Melbourne - Inner,51,206,38.90713021,0,11.13399751,2,683.25,395,0,1,88700,2,-14.6359584,0,-19.59654179,-0.430073272,18.42548887,1,2,2,3.327070908,2,87913,90901,3.398814737,3,63.60777587,2
Melbourne - Inner East,51,207,38.90713021,0,14.99996227,2,1120,445,0,1,91900,3,-15.13944223,0,-21.28712871,11.03133159,21.38442522,1,3,2,3.28515672,2,39448,40442,2.519772866,3,47.23127036,2
Melbourne - Inner South,51,208,38.90713021,0,-13.20438805,1,996,460,0,0,87800,2,-16.64167916,0,-28.46153846,2.673492605,11.7669532,1,2,0,1.946438842,3,42887,43366,1.116888568,1,47.23127036,2
Melbourne - North East,51,209,38.98225852,0,11.2032286,2,425,360,2,2,77900,2,-11.21076233,0,-5.970149254,-13.89870436,17.76785714,2,0,2,2.376480601,3,33142,33874,2.208677811,3,47.23127036,2
Melbourne - North West,51,210,38.8320019,0,125.6711219,3,370,340,2,2,71200,2,-3,2,-45.74468085,-11.0619469,17.02374059,0,0,2,4.477766899,0,23916,24348,1.806322127,2,47.23127036,2
Melbourne - Outer East,51,211,38.90713021,0,189.7590529,3,620,385,0,1,79700,2,-9.223300971,0,-28.50877193,-1.289134438,14.09807356,1,2,1,2.876562722,2,40295,40196,-0.245688051,0,47.23127036,2
